DATE,DEXJPUS,DEXCAUS,DEXCHUS,SP500
2014-08-01,102.45,1.0918,6.1793,1925.15
2014-08-04,102.47,1.0916,6.178,1938.99
2014-08-05,102.77,1.0969,6.1705,1920.21
2014-08-06,102.34,1.0926,6.1625,1920.24
2014-08-07,102.06,1.0922,6.1618,1909.57
2014-08-08,101.91,1.0982,6.1557,1931.59
2014-08-11,102.14,1.0933,6.1528,1936.92
2014-08-12,102.22,1.0944,6.1575,1933.75
2014-08-13,102.48,1.0929,6.1531,1946.72
2014-08-14,102.44,1.091,6.1575,1955.18
2014-08-15,102.19,1.091,6.147,1955.06
2014-08-18,102.54,1.0888,6.1425,1971.74
2014-08-19,102.86,1.0929,6.1425,1981.6
2014-08-20,103.36,1.0944,6.1395,1986.51
2014-08-21,103.78,1.0949,6.151,1992.37
2014-08-22,103.97,1.0949,6.151,1988.4
2014-08-25,103.96,1.098,6.154,1997.92
2014-08-26,104.12,1.095,6.1522,2000.02
2014-08-27,103.98,1.089,6.143,2000.12
2014-08-28,103.78,1.0857,6.1423,1996.74
2014-08-29,104.0,1.0858,6.143,2003.37
2014-09-01,,,,
2014-09-02,105.1,1.0923,6.148,2002.28
2014-09-03,104.88,1.0872,6.1408,2000.72
2014-09-04,105.22,1.0862,6.1383,1997.65
2014-09-05,104.94,1.089,6.14,2007.71
2014-09-08,105.65,1.0933,6.14,2001.54
2014-09-09,106.32,1.101,6.1362,1988.44
2014-09-10,106.76,1.0954,6.1284,1995.69
2014-09-11,106.87,1.1032,6.1295,1997.45
2014-09-12,107.24,1.1075,6.1344,1985.54
2014-09-15,107.18,1.105,6.1415,1984.13
2014-09-16,106.91,1.0985,6.1459,1998.98
2014-09-17,107.58,1.0951,6.1385,2001.57
2014-09-18,108.69,1.0946,6.14,2011.36
2014-09-19,108.96,1.0968,6.1403,2010.4
2014-09-22,108.88,1.1007,6.14,1994.29
2014-09-23,108.82,1.1059,6.1368,1982.77
2014-09-24,108.92,1.1088,6.1346,1998.3
2014-09-25,108.7,1.1105,6.1355,1965.99
2014-09-26,109.32,1.1162,6.1266,1982.85
2014-09-29,109.34,1.1142,6.1495,1977.8
2014-09-30,109.66,1.1207,6.138,1972.29
2014-10-01,109.3,1.1171,6.138,1946.16
2014-10-02,108.1,1.115,6.138,1946.17
2014-10-03,109.7,1.1254,6.1385,1967.9
2014-10-06,109.08,1.1174,6.1385,1964.82
2014-10-07,108.3,1.1182,6.1385,1935.1
2014-10-08,108.41,1.1181,6.1385,1968.89
2014-10-09,108.0,1.115,6.1299,1928.21
2014-10-10,107.83,1.1173,6.1308,1906.13
2014-10-13,,,,1874.74
2014-10-14,107.15,1.1235,6.125,1877.7
2014-10-15,106.06,1.1291,6.1249,1862.49
2014-10-16,105.98,1.1265,6.123,1862.76
2014-10-17,106.72,1.1247,6.1238,1886.76
2014-10-20,106.87,1.1276,6.1233,1904.01
2014-10-21,106.7,1.1219,6.1205,1941.28
2014-10-22,107.32,1.1218,6.118,1927.11
2014-10-23,108.16,1.1236,6.119,1950.82
2014-10-24,108.06,1.1211,6.1168,1964.58
2014-10-27,107.71,1.1247,6.116,1961.63
2014-10-28,108.0,1.1176,6.113,1985.05
2014-10-29,108.1,1.1135,6.1107,1982.3
2014-10-30,108.94,1.1191,6.114,1994.65
2014-10-31,112.09,1.1272,6.1124,2018.05
2014-11-03,113.92,1.1319,6.1178,2017.81
2014-11-04,113.44,1.1396,6.115,2012.1
2014-11-05,114.62,1.1377,6.1135,2023.57
2014-11-06,114.87,1.1423,6.1117,2031.21
2014-11-07,114.73,1.136,6.1225,2031.92
2014-11-10,114.78,1.1344,6.119,2038.26
2014-11-11,,,,2039.68
2014-11-12,115.42,1.1284,6.1257,2038.25
2014-11-13,115.63,1.1349,6.1243,2039.33
2014-11-14,116.52,1.1294,6.129,2039.82
2014-11-17,116.44,1.1308,6.1242,2041.32
2014-11-18,116.76,1.1305,6.1208,2051.8
2014-11-19,117.7,1.1349,6.119,2048.72
2014-11-20,118.14,1.1311,6.123,2052.75
2014-11-21,117.74,1.1237,6.1244,2063.5
2014-11-24,118.39,1.1279,6.1412,2069.41
2014-11-25,117.99,1.126,6.1355,2067.03
2014-11-26,117.6,1.1236,6.1386,2072.83
2014-11-27,,,,
2014-11-28,118.7,1.1426,6.1429,2067.56
2014-12-01,118.14,1.1343,6.1515,2053.44
2014-12-02,119.1,1.1397,6.149,2066.55
2014-12-03,119.82,1.1359,6.1499,2074.33
2014-12-04,119.67,1.1374,6.1541,2071.92
2014-12-05,121.38,1.1423,6.1497,2075.37
2014-12-08,120.89,1.1473,6.1725,2060.31
2014-12-09,118.87,1.1422,6.1855,2059.82
2014-12-10,118.5,1.1479,6.1763,2026.14
2014-12-11,119.4,1.1534,6.1881,2035.33
2014-12-12,118.22,1.1538,6.1864,2002.33
2014-12-15,117.75,1.1629,6.19,1989.63
2014-12-16,117.28,1.1624,6.189,1972.74
2014-12-17,117.64,1.1629,6.1957,2012.89
2014-12-18,118.84,1.1594,6.2139,2061.23
2014-12-19,119.56,1.1626,6.2196,2070.65
2014-12-22,119.84,1.1644,6.2213,2078.54
2014-12-23,120.68,1.1626,6.2256,2082.17
2014-12-24,120.45,1.1621,6.2148,2081.88
2014-12-25,,,,
2014-12-26,,,,2088.77
2014-12-29,120.57,1.1631,6.2222,2090.57
2014-12-30,119.34,1.1597,6.2015,2080.35
2014-12-31,119.85,1.1601,6.2046,2058.9
2015-01-01,,,,
2015-01-02,120.2,1.1725,6.2046,2058.2
2015-01-05,119.64,1.1785,6.2201,2020.58
2015-01-06,118.26,1.1802,6.2125,2002.61
2015-01-07,119.52,1.1851,6.2127,2025.9
2015-01-08,119.51,1.1812,6.2143,2062.14
2015-01-09,118.66,1.1857,6.2085,2044.81
2015-01-12,118.32,1.1929,6.2027,2028.26
2015-01-13,118.16,1.1947,6.197,2023.03
2015-01-14,116.78,1.1957,6.1957,2011.27
2015-01-15,116.95,1.1932,6.187,1992.67
2015-01-16,117.45,1.1986,6.2065,2019.42
2015-01-19,,,,
2015-01-20,118.48,1.2085,6.2137,2022.55
2015-01-21,117.86,1.2377,6.2112,2032.12
2015-01-22,117.92,1.237,6.2085,2063.15
2015-01-23,117.8,1.24,6.2279,2051.82
2015-01-26,118.38,1.2409,6.2535,2057.09
2015-01-27,117.62,1.2402,6.243,2029.55
2015-01-28,117.74,1.2452,6.2475,2002.16
2015-01-29,118.31,1.2644,6.2463,2021.25
2015-01-30,117.44,1.2716,6.2495,1994.99
2015-02-02,117.33,1.2577,6.2594,2020.85
2015-02-03,117.48,1.2452,6.2573,2050.03
2015-02-04,117.58,1.255,6.2472,2041.51
2015-02-05,117.4,1.2419,6.2516,2062.52
2015-02-06,119.16,1.2524,6.2417,2055.47
2015-02-09,118.7,1.2448,6.2467,2046.74
2015-02-10,119.32,1.2528,6.2405,2068.59
2015-02-11,120.38,1.2635,6.2422,2068.53
2015-02-12,118.72,1.2464,6.244,2088.48
2015-02-13,118.7,1.2449,6.2399,2096.99
2015-02-16,,,,
2015-02-17,118.99,1.2401,6.2546,2100.34
2015-02-18,119.19,1.2456,6.2546,2099.68
2015-02-19,118.84,1.2484,6.2546,2097.45
2015-02-20,118.68,1.2503,6.2546,2110.3
2015-02-23,118.88,1.2577,6.2546,2109.66
2015-02-24,119.13,1.2601,6.2546,2115.48
2015-02-25,118.88,1.2418,6.2591,2113.86
2015-02-26,119.36,1.249,6.2584,2110.74
2015-02-27,119.72,1.2506,6.2695,2104.5
2015-03-02,120.06,1.2535,6.272,2117.39
2015-03-03,119.47,1.245,6.2741,2107.78
2015-03-04,119.76,1.2439,6.2701,2098.53
2015-03-05,120.22,1.2482,6.2658,2101.04
2015-03-06,120.93,1.2615,6.262,2071.26
2015-03-09,121.17,1.2598,6.2635,2079.43
2015-03-10,121.2,1.2633,6.2615,2044.16
2015-03-11,121.5,1.2763,6.2613,2040.24
2015-03-12,121.28,1.2692,6.2614,2065.95
2015-03-13,121.17,1.2803,6.2585,2053.4
2015-03-16,121.3,1.2763,6.262,2081.19
2015-03-17,121.28,1.2769,6.249,2074.28
2015-03-18,120.92,1.2771,6.2289,2099.5
2015-03-19,120.9,1.2743,6.1955,2089.27
2015-03-20,120.28,1.2593,6.2037,2108.1
2015-03-23,119.74,1.2515,6.2135,2104.42
2015-03-24,119.9,1.251,6.2046,2091.5
2015-03-25,119.37,1.2513,6.2116,2061.05
2015-03-26,119.01,1.2469,6.2103,2056.15
2015-03-27,119.15,1.2579,6.2145,2061.02
2015-03-30,120.11,1.2687,6.2065,2086.24
2015-03-31,119.96,1.2681,6.199,2067.89
2015-04-01,119.62,1.261,6.1976,2059.69
2015-04-02,119.74,1.2584,6.1968,2066.96
2015-04-03,118.96,1.2465,6.193,
2015-04-06,119.05,1.245,6.193,2080.62
2015-04-07,120.36,1.2488,6.1955,2076.33
2015-04-08,119.96,1.2508,6.202,2081.9
2015-04-09,120.32,1.258,6.205,2091.18
2015-04-10,120.29,1.2596,6.2082,2102.06
2015-04-13,120.32,1.2603,6.2152,2092.43
2015-04-14,119.26,1.2476,6.2113,2095.84
2015-04-15,119.23,1.2378,6.2037,2106.63
2015-04-16,119.18,1.2206,6.1947,2104.99
2015-04-17,119.02,1.2225,6.1976,2081.18
2015-04-20,119.27,1.2203,6.2014,2100.4
2015-04-21,119.45,1.2274,6.201,2097.29
2015-04-22,119.9,1.225,6.1927,2107.96
2015-04-23,119.69,1.2148,6.1975,2112.93
2015-04-24,118.98,1.2168,6.193,2117.69
2015-04-27,119.12,1.2106,6.2185,2108.92
2015-04-28,118.8,1.2021,6.2035,2114.76
2015-04-29,118.83,1.1955,6.1989,2106.85
2015-04-30,119.86,1.2116,6.2018,2085.51
2015-05-01,120.21,1.2191,6.2018,2108.29
2015-05-04,120.25,1.2108,6.2085,2114.49
2015-05-05,119.87,1.2038,6.2058,2089.46
2015-05-06,119.42,1.2007,6.2001,2080.15
2015-05-07,119.74,1.2139,6.2063,2088.0
2015-05-08,119.78,1.2086,6.2084,2116.1
2015-05-11,120.05,1.2107,6.2086,2105.33
2015-05-12,119.8,1.1987,6.2086,2099.12
2015-05-13,119.09,1.195,6.2043,2098.48
2015-05-14,119.2,1.1991,6.2013,2121.1
2015-05-15,119.36,1.2009,6.2051,2122.73
2015-05-18,119.82,1.215,6.2041,2129.2
2015-05-19,120.58,1.2213,6.2064,2127.83
2015-05-20,121.28,1.2212,6.2036,2125.85
2015-05-21,121.06,1.2201,6.1958,2130.82
2015-05-22,121.45,1.2288,6.1972,2126.06
2015-05-25,,,,
2015-05-26,123.08,1.2428,6.2038,2104.2
2015-05-27,123.76,1.2483,6.2011,2123.48
2015-05-28,124.18,1.2474,6.2002,2120.79
2015-05-29,123.98,1.2466,6.198,2107.39
2015-06-01,124.64,1.2547,6.1985,2111.73
2015-06-02,124.19,1.2425,6.198,2109.6
2015-06-03,124.06,1.2437,6.1976,2114.07
2015-06-04,124.56,1.2477,6.2006,2095.84
2015-06-05,125.58,1.2488,6.2024,2092.83
2015-06-08,125.08,1.2435,6.2053,2079.28
2015-06-09,124.16,1.2316,6.2047,2080.15
2015-06-10,122.72,1.2267,6.2055,2105.2
2015-06-11,123.62,1.2314,6.2065,2108.86
2015-06-12,123.23,1.2306,6.2081,2094.11
2015-06-15,123.38,1.2321,6.208,2084.43
2015-06-16,123.39,1.2328,6.2085,2096.29
2015-06-17,124.25,1.2307,6.2086,2100.44
2015-06-18,122.87,1.2206,6.2075,2121.24
2015-06-19,122.7,1.2273,6.2085,2109.99
2015-06-22,123.28,1.2286,6.2085,2122.85
2015-06-23,123.71,1.2326,6.2066,2124.2
2015-06-24,124.24,1.2413,6.2061,2108.58
2015-06-25,123.63,1.2346,6.2084,2102.31
2015-06-26,123.92,1.2358,6.208,2101.49
2015-06-29,122.5,1.238,6.2085,2057.64
2015-06-30,122.1,1.2473,6.2,2063.11
2015-07-01,123.02,1.2559,6.2008,2077.42
2015-07-02,123.14,1.2566,6.2044,2076.78
2015-07-03,,,,
2015-07-06,122.53,1.2623,6.2089,2068.76
2015-07-07,122.16,1.2742,6.2097,2081.34
2015-07-08,120.54,1.2724,6.2087,2046.68
2015-07-09,121.22,1.2727,6.2086,2051.31
2015-07-10,122.75,1.2713,6.2092,2076.62
2015-07-13,123.35,1.2762,6.2081,2099.6
2015-07-14,123.39,1.2746,6.2088,2108.95
2015-07-15,123.89,1.2935,6.2082,2107.4
2015-07-16,124.04,1.2938,6.2094,2124.29
2015-07-17,124.0,1.2997,6.2085,2126.64
2015-07-20,124.24,1.2982,6.2095,2128.28
2015-07-21,123.93,1.2958,6.2095,2119.21
2015-07-22,124.08,1.3023,6.2093,2114.15
2015-07-23,123.88,1.303,6.2091,2102.15
2015-07-24,123.74,1.3059,6.2095,2079.65
2015-07-27,123.24,1.3008,6.2091,2067.64
2015-07-28,123.52,1.2933,6.2084,2093.25
2015-07-29,123.86,1.2893,6.2089,2108.57
2015-07-30,124.38,1.3024,6.2096,2108.63
2015-07-31,123.94,1.3047,6.2097,2103.84
2015-08-03,123.98,1.3141,6.2087,2098.04
2015-08-04,124.0,1.3124,6.2086,2093.32
2015-08-05,124.84,1.3181,6.2096,2099.84
2015-08-06,124.6,1.3152,6.2096,2083.56
2015-08-07,124.27,1.3122,6.2087,2077.57
2015-08-10,124.55,1.3056,6.2094,2104.18
2015-08-11,124.9,1.3149,6.3232,2084.07
2015-08-12,123.87,1.2973,6.3845,2086.05
2015-08-13,124.32,1.3078,6.3982,2083.39
2015-08-14,124.27,1.3075,6.3908,2091.54
2015-08-17,124.33,1.309,6.3937,2102.44
2015-08-18,124.39,1.3075,6.3928,2096.92
2015-08-19,124.1,1.3165,6.3956,2079.61
2015-08-20,123.54,1.3075,6.3875,2035.73
2015-08-21,122.11,1.3146,6.3887,1970.89
2015-08-24,118.56,1.321,6.4029,1893.21
2015-08-25,119.91,1.3295,6.4122,1867.61
2015-08-26,119.07,1.3301,6.4083,1940.51
2015-08-27,120.89,1.3193,6.4053,1987.66
2015-08-28,121.32,1.3268,6.389,1988.87
2015-08-31,121.26,1.3223,6.376,1972.18
2015-09-01,119.94,1.318,6.363,1913.85
2015-09-02,120.0,1.3308,6.3544,1948.86
2015-09-03,120.2,1.32,6.3549,1951.13
2015-09-04,119.05,1.3272,6.3549,1921.22
2015-09-07,,,,
2015-09-08,119.72,1.3193,6.3657,1969.41
2015-09-09,120.94,1.3221,6.3768,1942.04
2015-09-10,120.71,1.3218,6.377,1952.29
2015-09-11,120.66,1.3274,6.3735,1961.05
2015-09-14,119.92,1.3265,6.3664,1953.03
2015-09-15,120.3,1.3261,6.3685,1978.09
2015-09-16,120.62,1.318,6.3694,1995.31
2015-09-17,120.9,1.3186,6.3645,1990.2
2015-09-18,119.85,1.3146,6.3628,1958.03
2015-09-21,120.46,1.3249,6.3676,1966.97
2015-09-22,120.04,1.3276,6.375,1942.74
2015-09-23,120.12,1.3313,6.3836,1938.76
2015-09-24,119.54,1.3348,6.3818,1932.24
2015-09-25,120.74,1.3322,6.3737,1931.34
2015-09-28,119.82,1.336,6.3685,1881.77
2015-09-29,119.76,1.3414,6.3621,1884.09
2015-09-30,119.81,1.3396,6.3556,1920.03
2015-10-01,119.58,1.324,6.3559,1923.82
2015-10-02,119.42,1.3213,6.3559,1951.36
2015-10-05,120.36,1.3084,6.3559,1987.05
2015-10-06,120.18,1.3056,6.3559,1979.92
2015-10-07,119.9,1.3038,6.3559,1995.83
2015-10-08,119.94,1.3017,6.3529,2013.43
2015-10-09,120.3,1.2945,6.345,2014.89
2015-10-12,,,,2017.46
2015-10-13,119.8,1.2984,6.3417,2003.69
2015-10-14,119.21,1.2983,6.3462,1994.24
2015-10-15,118.26,1.2901,6.3459,2023.86
2015-10-16,119.6,1.2932,6.3523,2033.11
2015-10-19,119.5,1.2999,6.3591,2033.66
2015-10-20,119.79,1.2974,6.348,2030.77
2015-10-21,119.91,1.3117,6.3487,2018.94
2015-10-22,120.5,1.3087,6.3577,2052.51
2015-10-23,121.2,1.3171,6.3488,2075.15
2015-10-26,120.87,1.3134,6.3517,2071.18
2015-10-27,120.29,1.3242,6.3517,2065.89
2015-10-28,120.56,1.3149,6.3581,2090.35
2015-10-29,121.14,1.3169,6.3552,2089.41
2015-10-30,120.7,1.3082,6.318,2079.36
2015-11-02,120.7,1.3093,6.318,2104.05
2015-11-03,121.2,1.3107,6.318,2109.79
2015-11-04,121.52,1.3164,6.3357,2102.31
2015-11-05,121.71,1.3162,6.318,2099.93
2015-11-06,123.2,1.3307,6.318,2099.2
2015-11-09,123.04,1.3274,6.3619,2078.58
2015-11-10,123.22,1.3258,6.3603,2081.72
2015-11-11,,,,2075.0
2015-11-12,122.84,1.3309,6.369,2045.97
2015-11-13,122.93,1.3332,6.3735,2023.04
2015-11-16,123.11,1.3352,6.37,2053.19
2015-11-17,123.48,1.3324,6.3771,2050.44
2015-11-18,123.51,1.3351,6.3834,2083.58
2015-11-19,122.71,1.3266,6.3825,2081.24
2015-11-20,122.8,1.3337,6.3835,2089.17
2015-11-23,123.02,1.3358,6.389,2086.59
2015-11-24,122.47,1.3308,6.3883,2089.14
2015-11-25,122.7,1.3298,6.3877,2088.87
2015-11-26,,,,
2015-11-27,122.84,1.336,6.3945,2090.11
2015-11-30,123.22,1.3332,6.3883,2080.41
2015-12-01,122.88,1.3372,6.3883,2102.63
2015-12-02,123.52,1.3357,6.3883,2079.51
2015-12-03,123.06,1.3393,6.3883,2049.62
2015-12-04,123.1,1.3364,6.3883,2091.69
2015-12-07,123.31,1.3508,6.4081,2077.07
2015-12-08,123.0,1.3594,6.4162,2063.59
2015-12-09,121.86,1.3595,6.427,2047.62
2015-12-10,121.44,1.3598,6.4363,2052.23
2015-12-11,120.94,1.3695,6.4538,2012.37
2015-12-14,120.57,1.3732,6.4588,2021.94
2015-12-15,121.66,1.3729,6.46,2043.41
2015-12-16,121.88,1.3805,6.4723,2073.07
2015-12-17,122.75,1.397,6.4822,2041.89
2015-12-18,121.2,1.3876,6.48,2005.55
2015-12-21,120.99,1.3989,6.4793,2021.15
2015-12-22,120.94,1.3929,6.4778,2038.97
2015-12-23,120.94,1.386,6.4763,2064.29
2015-12-24,120.32,1.3847,6.4758,2060.99
2015-12-25,,,,
2015-12-28,120.3,1.3893,6.4778,2056.5
2015-12-29,120.44,1.3848,6.4778,2078.36
2015-12-30,120.6,1.3883,6.4896,2063.36
2015-12-31,120.27,1.3839,6.4778,2043.94
2016-01-01,,,,
2016-01-04,119.3,1.397,6.5338,2012.66
2016-01-05,118.95,1.3991,6.5219,2016.71
2016-01-06,118.54,1.4084,6.5554,1990.26
2016-01-07,118.0,1.4061,6.5926,1943.09
2016-01-08,117.74,1.415,6.5932,1922.03
2016-01-11,117.48,1.4203,6.5675,1923.67
2016-01-12,117.78,1.4293,6.57,1938.68
2016-01-13,118.06,1.4294,6.57,1890.28
2016-01-14,118.03,1.4374,6.5891,1921.84
2016-01-15,116.78,1.4531,6.584,1880.33
2016-01-18,,,,
2016-01-19,117.66,1.4513,6.5783,1881.33
2016-01-20,116.38,1.4592,6.5781,1859.33
2016-01-21,117.61,1.4244,6.5794,1868.99
2016-01-22,118.37,1.4153,6.5788,1906.9
2016-01-25,118.55,1.4248,6.579,1877.08
2016-01-26,118.5,1.4062,6.5814,1903.63
2016-01-27,118.9,1.404,6.5773,1882.95
2016-01-28,118.61,1.4077,6.5744,1893.36
2016-01-29,121.05,1.4074,6.5752,1940.24
2016-02-01,121.06,1.4005,6.5778,1939.38
2016-02-02,120.27,1.4039,6.5795,1903.03
2016-02-03,117.92,1.3843,6.5765,1912.53
2016-02-04,116.75,1.3724,6.5638,1915.45
2016-02-05,116.99,1.3875,6.571,1880.05
2016-02-08,115.7,1.3921,6.571,1853.44
2016-02-09,114.8,1.386,6.571,1852.21
2016-02-10,114.03,1.3969,6.571,1851.86
2016-02-11,111.72,1.3933,6.571,1829.08
2016-02-12,112.96,1.3834,6.571,1864.78
2016-02-15,,,,
2016-02-16,113.9,1.3857,6.5154,1895.58
