DATE,DGS6MO,DGS1
2022-12-16,4.68,4.61
2022-12-19,4.71,4.64
2022-12-20,4.7,4.64
2022-12-21,4.67,4.6
2022-12-22,4.66,4.64
2022-12-23,4.67,4.66
2022-12-26,,
2022-12-27,4.76,4.75
2022-12-28,4.75,4.71
2022-12-29,4.73,4.71
2022-12-30,4.76,4.73
